Species abbr. (full name)	Tribe	Sex	ID	Depth	CDS unique ID	CDS tip label	AA unique ID	CDS reads depth after mapping to the ref. genome (mean|median)	Genome wide reads depth after mapping to the ref. genome (mean|median)	Ratio of CDS and genome wide reads depth (mean|median)
Orenil (Oreochromis niloticus)	Oreochromini	F	RefSeq (GCF_001858045.2)	NA	haplo0	Orenil_1	haplo0	NA	NA	NA
Batfas (Bathybates fasciatus)	Bathybatini	F	GPB2	inter.	haplo1	Batfas_2_A	haplo1	9.08|9	11.07|9	0.82|1
Batfas (Bathybates fasciatus)	Bathybatini	M	ITH3	inter.	haplo2	Batfas_2_B	haplo1	14.01|14	16.46|14	0.43|0.5
Batfer (Bathybates ferox)	Bathybatini	M	LCD6	NA	haplo3	Batfer_2	haplo2	7.7|8	9.83|8	0.78|1
Batfer (Bathybates ferox)	Bathybatini	F	LCD7	NA	haplo3	Batfer_2	haplo2	6.38|7	9.31|7	0.69|1
Batgra (Bathybates graueri)	Bathybatini	M	ILG7	deep	haplo4	Batgra_2	haplo3	8.87|8	14.2|12	0.62|0.67
Batgra (Bathybates graueri)	Bathybatini	F	IUI8	deep	haplo4	Batgra_2	haplo3	7.5|7	10.9|9	0.69|0.78
Bathor (Bathybates hornii)	Bathybatini	M	JDE3	NA	haplo5	Bathor_2	haplo4	9.38|9	12.39|10	0.76|0.9
Bathor (Bathybates hornii)	Bathybatini	M?	JDE4	NA	haplo5	Bathor_2	haplo4	11.59|12	16.4|14	0.35|0.43
Batleo (Bathybates leo)	Bathybatini	F	ILF7	deep	haplo6	Batleo_1	haplo5	9.37|10	10.43|8	0.9|1.25
Batmin (Bathybates minor)	Bathybatini	F	IXA5	NA	haplo7	Batmin_2_A	haplo6	7.82|8	11.3|9	0.69|0.89
Batmin (Bathybates minor)	Bathybatini	M	JBG3	NA	haplo8	Batmin_2_B	haplo7	9.8|10	10.65|9	0.92|1.11
Batvit (Bathybates vittatus)	Bathybatini	M	ITD7	deep	haplo9	Batvit_3_C	haplo8	7.95|8	11.33|9	0.7|0.89
Batvit (Bathybates vittatus)	Bathybatini	M	JDE6	deep	haplo10	Batvit_3_A	haplo9	13.28|13	14.56|12	0.91|1.08
Batvit (Bathybates vittatus)	Bathybatini	F	JDE7	deep	haplo11	Batvit_3_B	haplo10	10.02|10	14.59|12	0.69|0.83
Hemste (Hemibates stenosoma)	Bathybatini	M	IXC2	deep	haplo13	Hemste_2	haplo12	8.16|8	10.61|8	0.77|1
Hemste (Hemibates stenosoma)	Bathybatini	F	IXC3	deep	haplo13	Hemste_2	haplo12	8.86|9	10.88|9	0.81|1
HemstZ (Hemibates koningsi)	Bathybatini		IZA5	deep	haplo12	HemstZ_2	haplo11	15.97|15	19.24|16	0.83|0.94
HemstZ (Hemibates koningsi)	Bathybatini	F	LJC5	deep	haplo12	HemstZ_2	haplo11	15.74|15	14.31|10	1.1|1.5
BenhoM (Benthochromis sp. “horii mahale”)	Benthochromini	M	LEF2	inter.	haplo14	BenhoM_1	haplo13	15.55|16	17.37|15	0.45|0.53
Benhor (Benthochromis horii)	Benthochromini	M	ILF8	inter.	haplo15	Benhor_1	haplo14	12.24|13	13.03|11	0.94|1.18
Benmel (Benthochromis melanoides)	Benthochromini	F	ILG3	deep	haplo16	Benmel_3_AB	haplo15	10.96|10	13.08|12	0.84|0.83
Benmel (Benthochromis melanoides)	Benthochromini	M	IXB8	deep	haplo16	Benmel_3_AB	haplo15	7.48|7	10.6|9	0.71|0.78
Benmel (Benthochromis melanoides)	Benthochromini	F	IZA2	deep	haplo17	Benmel_3_C	haplo15	9|9	10.56|9	0.85|1
Bentri (Benthochromis tricoti)	Benthochromini	M	LDA7	deep	haplo18	Bentri_2_A	haplo16	8.8|8	10.76|9	0.82|0.89
Bentri (Benthochromis tricoti)	Benthochromini	F	LDA9	deep	haplo19	Bentri_2_B	haplo17	12.75|13	11.38|10	1.12|1.3
Boumic (Boulengerochromis microlepis)	Boulengerochromini	F	JAE7	inter.	haplo20	Boumic_2	haplo18	17.35|17	19.94|18	0.44|0.47
Boumic (Boulengerochromis microlepis)	Boulengerochromini	M	JCF2	inter.	haplo20	Boumic_2	haplo18	18.69|19	21.08|19	0.44|0.5
Cphfr5 (Cyphotilapia sp. “5-bar frontosa”)	Cyphotilapiini	M	KAG3	inter.	haplo21	Cphfr5_2	haplo19	10.59|11	14.55|13	0.36|0.42
Cphfr5 (Cyphotilapia sp. “5-bar frontosa”)	Cyphotilapiini	F	KDG2	inter.	haplo21	Cphfr5_2	haplo19	14.86|14	18.49|16	0.4|0.44
Cphfro (Cyphotilapia frontosa)	Cyphotilapiini	F	LEI6	inter.	haplo21	Cphfro_2	haplo19	9.24|9	9.79|8	0.94|1.12
Cphfro (Cyphotilapia frontosa)	Cyphotilapiini	M	LEI9	inter.	haplo21	Cphfro_2	haplo19	9.85|10	9.71|8	1.01|1.25
Cphgib (Cyphotilapia gibberosa)	Cyphotilapiini	M	INH7	inter.	haplo21	Cphgib_2	haplo19	12.61|12	14.2|12	0.89|1
Cphgib (Cyphotilapia gibberosa)	Cyphotilapiini	F	INH9	inter.	haplo21	Cphgib_2	haplo19	14.64|15	13.51|12	1.08|1.25
Cteben (Ctenochromis benthicola)	Cyphotilapiini	M	DMD1	deep	haplo22	Cteben_2_A	haplo20	10.45|11	11.91|10	0.88|1.1
Cteben (Ctenochromis benthicola)	Cyphotilapiini	F	IYA8	deep	haplo23	Cteben_2_B	haplo20	8.71|9	10.52|9	0.83|1
Cypcol (Cyprichromis coloratus)	Cyprichromini	M	JEC7	inter.	haplo24	Cypcol_2	haplo21	20.95|21	22.57|21	0.46|0.5
Cypcol (Cyprichromis coloratus)	Cyprichromini	F	JED2	inter.	haplo24	Cypcol_2	haplo21	21.38|21	21.03|19	0.51|0.55
Cypdwj (Cyprichromis sp. “dwarf jumbo”)	Cyprichromini	M	KFA7	inter.	haplo25	Cypdwj_2	haplo22	17.23|17	18.51|17	0.47|0.5
Cypdwj (Cyprichromis sp. “dwarf jumbo”)	Cyprichromini	F	KFA9	inter.	haplo25	Cypdwj_2	haplo22	15.21|16	15.46|14	0.49|0.57
Cypkan (Cyprichromis sp. “jumbo”)	Cyprichromini	M	INH1	inter.	haplo25	Cypkan_1	haplo22	15.44|15	14.13|13	1.09|1.15
Cypkib (Cyprichromis sp. “kibishi”)	Cyprichromini	M	Bel16	NA	haplo26	Cypkib_2_B	haplo23	8.15|8	9.59|8	0.85|1
Cypkib (Cyprichromis sp. “kibishi”)	Cyprichromini	F	Bel18	NA	haplo25	Cypkib_2_A	haplo22	10.13|11	10.71|9	0.95|1.22
Cyplep (Cyprichromis leptosoma)	Cyprichromini	M	ISI2	inter.	haplo27	Cyplep_2	haplo24	9.95|10	12.93|11	0.77|0.91
Cyplep (Cyprichromis leptosoma)	Cyprichromini	F	ISI6	inter.	haplo27	Cyplep_2	haplo24	10.32|10	11.72|10	0.88|1
Cypmic (Cyprichromis microlepidotus)	Cyprichromini	M	JVE1	NA	haplo25	Cypmic_2_A	haplo22	8.65|9	8.96|8	0.96|1.12
