Opsin	Gene	Protein	Type	Scf_start	Scf_stop	From_mRNA_start	From_mRNA_stop
RH1	XM_003439005_3	XP_003439053_1	mRNA	14827754	14829360	0	1606
RH1	XM_003439005_3	XP_003439053_1	Exon	14827754	14829360	0	1606
RH2	XM_003439005_3	XP_003439053_1	CDS	14827848	14828912	94	1158
exoRH1	XM_003438995_5	XP_003439043_1	mRNA	14387282	14393197	0	5915
exoRH1	XM_003438995_5	XP_003439043_1	Exon	14387282	14388209	0	927
exoRH1	XM_003438995_5	XP_003439043_1	Exon	14388439	14388607	1157	1325
exoRH1	XM_003438995_5	XP_003439043_1	Exon	14388789	14388954	1507	1672
exoRH1	XM_003438995_5	XP_003439043_1	Exon	14390612	14390851	3330	3569
exoRH1	XM_003438995_5	XP_003439043_1	Exon	14391687	14393197	4405	5915
exoRH1	XM_003438995_5	XP_003439043_1	CDS	14387849	14388209	567	927
exoRH1	XM_003438995_5	XP_003439043_1	CDS	14388439	14388607	1157	1325
exoRH1	XM_003438995_5	XP_003439043_1	CDS	14388789	14388954	1507	1672
exoRH1	XM_003438995_5	XP_003439043_1	CDS	14390612	14390851	3330	3569
exoRH1	XM_003438995_5	XP_003439043_1	CDS	14391687	14391806	4405	4524
